area,food_group,ssr_645,ssr_664
Democratic People's Republic of Korea,Spices,0,0
Democratic People's Republic of Korea,Sugars,0,0
Democratic People's Republic of Korea,Vegetables,353.1342465,83.4
Denmark,Alcohol,311.7750314,194.9074099
Denmark,Dairy,1760.981059,863.8295214
Denmark,Fats & Oils,52.9497933,439.8390533
Denmark,Fruits,39.31467042,14.97996431
Denmark,Grains (Starchy staples),613.3171061,1089.923652
Denmark,"Legumes, Nuts & Seeds",17.52689619,47.5516184
Denmark,Meats,1121.11972,1699.237958
Denmark,Spices,0,0
Denmark,Sugars,137.803649,441.6511559
Denmark,Vegetables,129.6545418,36.29772884
Djibouti,Alcohol,0,0
Djibouti,Dairy,49.31176431,31.82713568
Djibouti,Fats & Oils,0,0
Djibouti,Fruits,15.76703257,5.231788079
Djibouti,Grains (Starchy staples),0,0
Djibouti,"Legumes, Nuts & Seeds",7.899326676,28.59661017
Djibouti,Meats,49.59753177,80.56576577
Djibouti,Miscellaneous,,
Djibouti,Spices,1.573867229,2.615384615
Djibouti,Sugars,0,0
Djibouti,Vegetables,103.7187215,25.06666667
Dominica,Alcohol,26.23013699,42.4
Dominica,Dairy,224.842618,131.3481481
Dominica,Fats & Oils,3.941291585,33
Dominica,Fruits,973.3018669,278.5581395
Dominica,Grains (Starchy staples),587.4015196,974.2915966
Dominica,"Legumes, Nuts & Seeds",122.3715068,237.12
Dominica,Meats,40.80491261,60.06896552
Dominica,Miscellaneous,,
Dominica,Spices,inf,inf
Dominica,Sugars,87.49912187,264.7435897
Dominica,Vegetables,210.460274,54.4
Dominican Republic,Alcohol,137.4130126,93.94026187
Dominican Republic,Dairy,147.8796826,85.77983635
Dominican Republic,Fats & Oils,17.11834718,149.695082
Dominican Republic,Fruits,605.7498626,225.1323206
Dominican Republic,Grains (Starchy staples),206.6770784,433.228153
Dominican Republic,"Legumes, Nuts & Seeds",52.37374298,126.9156069
Dominican Republic,Meats,159.7081724,211.2058537
Dominican Republic,Miscellaneous,,
